Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0258926309, 15.04.2021, 13:16, 1.350000, 10000.000000,
CH0258926309, 26.04.2021, 10:39, 1.200000, 7300.000000,
CH0258926309, 29.04.2021, 12:44, 1.200000, 20000.000000,
CH0258926309, 29.04.2021, 12:44, 1.200000, 4000.000000,
CH0258926309, 10.05.2021, 10:05, 1.150000, 12000.000000,
CH0258926309, 10.05.2021, 10:06, 1.150000, 28000.000000,
CH0258926309, 10.05.2021, 10:16, 1.150000, 30000.000000,
CH0258926309, 12.05.2021, 15:40, 1.150000, 30000.000000,
CH0258926309, 28.05.2021, 16:39, 1.150000, 10000.000000,
CH0258926309, 07.06.2021, 14:42, 1.150000, 10000.000000,
CH0258926309, 07.06.2021, 14:42, 1.150000, 90000.000000,
CH0258926309, 29.06.2021, 11:49, 1.100000, 29000.000000,
CH0258926309, 29.06.2021, 11:50, 1.100000, 11000.000000,
CH0258926309, 29.06.2021, 11:51, 1.100000, 10000.000000,
CH0258926309, 28.07.2021, 13:01, 1.000000, 15000.000000,
CH0258926309, 28.07.2021, 13:30, 1.000000, 10000.000000,
CH0258926309, 16.08.2021, 12:15, 0.800000, 27300.000000,
CH0258926309, 20.08.2021, 15:25, 1.200000, 7000.000000,
CH0258926309, 20.08.2021, 15:26, 1.200000, 8000.000000,
CH0258926309, 26.08.2021, 11:21, 1.200000, 8000.000000,
CH0258926309, 26.08.2021, 12:05, 1.200000, 30000.000000,
CH0258926309, 26.08.2021, 12:28, 1.200000, 8000.000000,
CH0258926309, 26.08.2021, 12:33, 1.200000, 7000.000000,
CH0258926309, 26.08.2021, 11:21, 1.200000, 4000.000000,
CH0258926309, 03.11.2021, 08:31, 1.100000, 300.000000,
CH0258926309, 10.11.2021, 11:34, 1.100000, 27273.000000,
CH0258926309, 10.11.2021, 14:52, 1.100000, 45455.000000,
CH0258926309, 10.11.2021, 15:53, 1.100000, 9972.000000,
CH0258926309, 24.11.2021, 11:03, 1.350000, 15000.000000,
CH0258926309, 26.11.2021, 16:30, 1.650000, 100000.000000,
CH0258926309, 28.12.2021, 11:46, 1.550000, 32000.000000,
CH0258926309, 22.02.2022, 16:56, 1.350000, 13000.000000,
CH0258926309, 28.02.2022, 10:29, 1.350000, 4000.000000,
CH0258926309, 08.03.2022, 15:16, 1.300000, 3000.000000,
CH0258926309, 08.03.2022, 15:16, 1.350000, 10000.000000,
CH0258926309, 06.04.2022, 10:09, 1.000000, 32000.000000,
CH0258926309, 11.04.2022, 09:28, 1.350000, 5000.000000,
CH0258926309, 11.04.2022, 09:38, 1.350000, 5000.000000,
CH0258926309, 13.04.2022, 10:34, 1.350000, 80000.000000,
CH0258926309, 14.04.2022, 14:26, 1.350000, 32000.000000,
CH0258926309, 14.04.2022, 14:26, 1.350000, 18000.000000,
CH0258926309, 14.04.2022, 14:29, 1.350000, 10867.000000,
CH0258926309, 14.04.2022, 14:50, 1.350000, 9133.000000,
CH0258926309, 29.04.2022, 10:56, 1.400000, 20000.000000,
CH0258926309, 29.04.2022, 11:58, 1.650000, 13160.000000,
CH0258926309, 29.04.2022, 10:56, 1.400000, 14999.000000,
CH0258926309, 13.05.2022, 09:21, 1.700000, 5000.000000,
CH0258926309, 13.05.2022, 09:23, 1.700000, 11667.000000,
CH0258926309, 13.05.2022, 09:25, 1.700000, 10001.000000,
CH0258926309, 13.05.2022, 09:39, 1.700000, 5082.000000,
CH0258926309, 19.05.2022, 11:13, 1.850000, 5000.000000,
CH0258926309, 19.05.2022, 11:13, 1.850000, 90000.000000,
CH0258926309, 19.05.2022, 11:13, 1.850000, 5000.000000,
CH0258926309, 01.06.2022, 15:07, 1.750000, 3000.000000,
CH0258926309, 22.06.2022, 10:37, 1.800000, 10000.000000,
CH0258926309, 23.06.2022, 14:45, 1.750000, 5000.000000,
CH0258926309, 28.06.2022, 16:22, 1.800000, 50.000000,
CH0258926309, 30.06.2022, 12:12, 1.750000, 10000.000000,
CH0258926309, 30.06.2022, 12:12, 1.750000, 5000.000000,
CH0258926309, 30.06.2022, 15:05, 1.400000, 1950.000000,
CH0258926309, 30.06.2022, 15:58, 1.700000, 3200.000000,
CH0258926309, 05.07.2022, 14:58, 1.700000, 1700.000000,
CH0258926309, 28.07.2022, 15:32, 1.800000, 1882.000000,
CH0258926309, 29.07.2022, 09:03, 1.800000, 118.000000,
CH0258926309, 29.07.2022, 09:03, 1.400000, 50.000000,
CH0258926309, 28.07.2022, 15:32, 1.800000, 2000.000000,
CH0258926309, 28.07.2022, 15:32, 1.800000, 5000.000000,
CH0258926309, 02.08.2022, 10:59, 1.850000, 11000.000000,
CH0258926309, 09.08.2022, 10:06, 1.850000, 20000.000000,
CH0258926309, 09.08.2022, 10:06, 1.850000, 5000.000000,
CH0258926309, 09.08.2022, 10:06, 1.850000, 2000.000000,
CH0258926309, 16.09.2022, 10:02, 1.700000, 2000.000000,
CH0258926309, 28.09.2022, 14:24, 1.750000, 2000.000000,
CH0258926309, 31.10.2022, 15:36, 1.700000, 50000.000000,
CH0258926309, 31.10.2022, 15:36, 1.700000, 10000.000000,
CH0258926309, 08.11.2022, 11:11, 1.700000, 3000.000000,
CH0258926309, 08.11.2022, 11:13, 1.700000, 5000.000000,
CH0258926309, 08.11.2022, 11:11, 1.700000, 3000.000000,
CH0258926309, 10.11.2022, 10:34, 1.700000, 10000.000000,
CH0258926309, 17.11.2022, 12:52, 1.700000, 4000.000000,
CH0258926309, 21.11.2022, 10:53, 1.700000, 2000.000000,
CH0258926309, 29.11.2022, 09:19, 1.700000, 13000.000000,
CH0258926309, 09.12.2022, 12:49, 1.800000, 5000.000000,
CH0258926309, 29.12.2022, 11:56, 1.600000, 50.000000,
CH0258926309, 30.12.2022, 16:49, 1.450000, 10000.000000,
