Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0036505888, 25.03.2021, 08:34, 13.000000, 300.000000,
CH0036505888, 25.03.2021, 08:34, 14.950000, 512.000000,
CH0036505888, 29.03.2021, 12:22, 12.000000, 300.000000,
CH0036505888, 29.03.2021, 13:24, 15.000000, 200.000000,
CH0036505888, 29.03.2021, 13:53, 16.500000, 200.000000,
CH0036505888, 30.03.2021, 13:50, 15.000000, 500.000000,
CH0036505888, 01.04.2021, 16:25, 15.000000, 1000.000000,
CH0036505888, 06.04.2021, 14:42, 15.000000, 400.000000,
CH0036505888, 06.04.2021, 15:09, 15.000000, 83.000000,
CH0036505888, 06.04.2021, 15:23, 15.000000, 716.000000,
CH0036505888, 08.04.2021, 10:17, 18.000000, 400.000000,
CH0036505888, 08.04.2021, 10:17, 18.000000, 300.000000,
CH0036505888, 15.04.2021, 10:27, 15.050000, 12.000000,
CH0036505888, 16.04.2021, 08:37, 24.000000, 300.000000,
CH0036505888, 16.04.2021, 08:37, 21.900000, 400.000000,
CH0036505888, 16.04.2021, 10:34, 25.000000, 100.000000,
CH0036505888, 20.04.2021, 11:08, 21.900000, 24.000000,
CH0036505888, 23.04.2021, 08:30, 21.900000, 300.000000,
CH0036505888, 23.04.2021, 14:41, 21.900000, 10.000000,
CH0036505888, 03.05.2021, 08:30, 21.900000, 266.000000,
CH0036505888, 03.05.2021, 15:16, 18.000000, 85.000000,
CH0036505888, 03.05.2021, 15:35, 18.000000, 34.000000,
CH0036505888, 04.05.2021, 08:34, 18.000000, 16.000000,
CH0036505888, 04.05.2021, 16:51, 18.000000, 16.000000,
CH0036505888, 05.01.2026, 08:49, 12.000000, 100.000000,
CH0036505888, 05.01.2026, 11:26, 11.000000, 30.000000,
CH0036505888, 05.01.2026, 11:26, 10.500000, 10.000000,
CH0036505888, 05.01.2026, 11:26, 10.500000, 2.000000,
CH0036505888, 19.05.2021, 10:25, 19.000000, 2.000000,
CH0036505888, 19.05.2021, 10:25, 18.000000, 140.000000,
CH0036505888, 05.01.2026, 11:26, 7.550000, 38.000000,
CH0036505888, 21.05.2021, 16:24, 18.000000, 9.000000,
CH0036505888, 21.05.2021, 16:24, 15.000000, 81.000000,
CH0036505888, 28.05.2021, 08:32, 19.950000, 240.000000,
CH0036505888, 28.05.2021, 08:32, 20.000000, 280.000000,
CH0036505888, 03.06.2021, 10:40, 20.000000, 160.000000,
CH0036505888, 22.06.2021, 13:06, 20.000000, 4.000000,
CH0036505888, 15.01.2026, 14:31, 7.500000, 58.000000,
CH0036505888, 30.06.2021, 15:50, 24.000000, 30.000000,
CH0036505888, 15.01.2026, 14:31, 7.550000, 62.000000,
CH0036505888, 30.07.2021, 10:02, 22.500000, 100.000000,
CH0036505888, 21.01.2026, 14:34, 12.000000, 6.000000,
CH0036505888, 27.08.2021, 08:31, 24.000000, 25.000000,
CH0036505888, 28.01.2026, 14:46, 9.500000, 52.000000,
CH0036505888, 28.01.2026, 14:46, 7.500000, 1.000000,
CH0036505888, 28.01.2026, 14:46, 7.050000, 50.000000,
CH0036505888, 29.01.2026, 16:43, 12.000000, 10.000000,
CH0036505888, 28.01.2026, 14:46, 6.550000, 17.000000,
CH0036505888, 29.09.2021, 08:50, 24.000000, 4.000000,
CH0036505888, 05.02.2026, 08:30, 7.000000, 52.000000,
CH0036505888, 09.02.2026, 09:53, 3.100000, 100.000000,
CH0036505888, 09.02.2026, 09:53, 3.050000, 140.000000,
CH0036505888, 10.02.2026, 12:09, 7.000000, 100.000000,
CH0036505888, 28.10.2021, 11:53, 24.000000, 1.000000,
CH0036505888, 03.11.2021, 10:56, 23.000000, 20.000000,
CH0036505888, 09.11.2021, 08:33, 23.000000, 1.000000,
CH0036505888, 19.02.2026, 10:10, 5.000000, 190.000000,
CH0036505888, 19.02.2026, 10:17, 5.000000, 310.000000,
CH0036505888, 02.12.2021, 11:15, 23.000000, 79.000000,
CH0036505888, 14.12.2021, 08:31, 20.000000, 100.000000,
CH0036505888, 17.12.2021, 09:33, 15.000000, 8.000000,
CH0036505888, 28.12.2021, 10:39, 15.000000, 48.000000,
CH0036505888, 05.01.2022, 13:43, 15.000000, 100.000000,
CH0036505888, 10.01.2022, 08:33, 15.000000, 2.000000,
CH0036505888, 21.02.2022, 09:29, 20.000000, 10.000000,
CH0036505888, 25.02.2022, 14:55, 19.000000, 219.000000,
CH0036505888, 25.02.2022, 14:55, 20.000000, 41.000000,
CH0036505888, 15.03.2022, 12:01, 20.000000, 149.000000,
CH0036505888, 25.03.2026, 08:30, 5.200000, 10.000000,
CH0036505888, 25.03.2026, 08:30, 5.100000, 186.000000,
CH0036505888, 30.03.2026, 15:12, 6.000000, 25.000000,
CH0036505888, 14.04.2022, 11:00, 20.000000, 51.000000,
CH0036505888, 07.04.2026, 10:31, 6.600000, 24.000000,
CH0036505888, 29.04.2022, 16:38, 20.000000, 5.000000,
CH0036505888, 10.05.2022, 13:44, 10.000000, 87.000000,
CH0036505888, 15.06.2022, 08:31, 5.050000, 150.000000,
CH0036505888, 15.06.2022, 08:31, 5.000000, 10.000000,
CH0036505888, 20.06.2022, 08:54, 5.000000, 160.000000,
CH0036505888, 20.04.2026, 08:57, 10.000000, 40.000000,
CH0036505888, 23.04.2026, 16:58, 7.000000, 300.000000,
CH0036505888, 24.04.2026, 08:30, 7.000000, 50.000000,
CH0036505888, 27.07.2022, 09:58, 9.900000, 2.000000,
CH0036505888, 29.04.2026, 15:12, 7.000000, 20.000000,
CH0036505888, 29.04.2026, 15:28, 7.050000, 290.000000,
CH0036505888, 29.08.2022, 08:46, 9.900000, 143.000000,
CH0036505888, 29.08.2022, 08:46, 10.000000, 32.000000,
CH0036505888, 01.09.2022, 08:31, 6.000000, 96.000000,
CH0036505888, 14.11.2022, 14:13, 10.000000, 64.000000,
CH0036505888, 14.12.2022, 16:30, 6.250000, 115.000000,
CH0036505888, 29.12.2022, 15:29, 12.000000, 120.000000,
CH0036505888, 30.12.2022, 10:08, 12.000000, 200.000000,
CH0036505888, 05.01.2023, 15:24, 17.000000, 100.000000,
CH0036505888, 09.01.2023, 08:32, 15.000000, 100.000000,
CH0036505888, 13.01.2023, 13:37, 9.050000, 60.000000,
CH0036505888, 07.02.2023, 08:31, 10.100000, 76.000000,
CH0036505888, 27.02.2023, 11:20, 10.100000, 21.000000,
CH0036505888, 06.03.2023, 10:20, 16.800000, 30.000000,
CH0036505888, 10.03.2023, 09:50, 10.150000, 10.000000,
CH0036505888, 15.03.2023, 15:21, 11.000000, 5.000000,
CH0036505888, 16.03.2023, 10:49, 11.000000, 115.000000,
CH0036505888, 30.03.2023, 11:56, 14.900000, 400.000000,
CH0036505888, 30.03.2023, 11:56, 15.000000, 400.000000,
CH0036505888, 03.04.2023, 14:57, 15.000000, 40.000000,
CH0036505888, 11.04.2023, 09:43, 15.000000, 20.000000,
CH0036505888, 11.05.2023, 09:24, 15.000000, 20.000000,
CH0036505888, 15.05.2023, 12:39, 15.500000, 120.000000,
CH0036505888, 15.05.2023, 14:28, 15.500000, 120.000000,
CH0036505888, 22.05.2023, 08:31, 15.800000, 30.000000,
CH0036505888, 24.05.2023, 16:18, 15.400000, 16.000000,
CH0036505888, 23.05.2023, 16:39, 15.400000, 16.000000,
