Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0292081723, 18.06.2021, 08:31, 300.000000, 2.000000,
CH0292081723, 24.06.2021, 16:08, 275.000000, 10.000000,
CH0292081723, 05.07.2021, 10:00, 300.000000, 1.000000,
CH0292081723, 16.03.2026, 11:56, 150.000000, 1.000000,
CH0292081723, 30.03.2026, 08:31, 150.000000, 13.000000,
CH0292081723, 22.04.2022, 09:51, 250.000000, 1.000000,
CH0292081723, 22.04.2022, 09:51, 280.000000, 1.000000,
CH0292081723, 22.04.2026, 10:24, 150.000000, 5.000000,
CH0292081723, 18.07.2022, 11:24, 220.500000, 4.000000,
CH0292081723, 10.08.2022, 09:21, 279.000000, 1.000000,
CH0292081723, 02.09.2022, 08:31, 220.500000, 1.000000,
CH0292081723, 17.10.2022, 09:53, 220.500000, 1.000000,
CH0292081723, 17.10.2022, 09:53, 220.000000, 1.000000,
CH0292081723, 13.07.2023, 11:02, 180.500000, 3.000000,
CH0292081723, 25.09.2023, 15:10, 180.500000, 2.000000,
CH0292081723, 27.12.2023, 10:05, 180.500000, 1.000000,
CH0292081723, 13.03.2024, 16:31, 200.000000, 10.000000,
CH0292081723, 31.05.2024, 16:59, 180.500000, 1.000000,
CH0292081723, 14.06.2024, 14:16, 150.000000, 2.000000,
CH0292081723, 05.07.2024, 15:33, 150.000000, 2.000000,
CH0292081723, 16.08.2024, 12:24, 200.000000, 4.000000,
CH0292081723, 02.09.2024, 16:56, 155.000000, 2.000000,
CH0292081723, 03.01.2025, 10:11, 125.000000, 10.000000,
CH0292081723, 09.01.2025, 09:34, 180.000000, 2.000000,
CH0292081723, 28.01.2025, 11:56, 136.000000, 3.000000,
CH0292081723, 28.01.2025, 11:56, 135.000000, 2.000000,
CH0292081723, 25.03.2025, 08:35, 200.000000, 10.000000,
CH0292081723, 04.06.2025, 10:44, 220.000000, 1.000000,
CH0292081723, 28.08.2025, 14:56, 200.000000, 6.000000,
CH0292081723, 03.10.2025, 14:52, 180.000000, 10.000000,
CH0292081723, 10.10.2025, 14:05, 110.000000, 1.000000,
CH0292081723, 17.10.2025, 16:12, 220.000000, 10.000000,
CH0292081723, 20.10.2025, 11:14, 220.000000, 1.000000,
CH0292081723, 05.11.2025, 16:44, 115.500000, 7.000000,
CH0292081723, 05.11.2025, 16:44, 115.000000, 3.000000,
CH0292081723, 17.12.2015, 10:52, 221.000000, 1.000000,
CH0292081723, 18.12.2015, 13:41, 221.000000, 9.000000,
CH0292081723, 18.12.2015, 13:41, 220.000000, 1.000000,
CH0292081723, 12.01.2016, 10:46, 225.000000, 1.000000,
CH0292081723, 12.01.2016, 10:46, 220.000000, 1.000000,
CH0292081723, 03.03.2016, 09:07, 450.000000, 2.000000,
CH0292081723, 23.03.2016, 11:17, 160.000000, 1.000000,
CH0292081723, 06.04.2016, 09:11, 450.000000, 8.000000,
CH0292081723, 06.04.2016, 09:11, 450.000000, 10.000000,
CH0292081723, 12.04.2016, 09:33, 160.000000, 1.000000,
CH0292081723, 12.05.2016, 11:16, 160.000000, 2.000000,
CH0292081723, 25.05.2016, 13:04, 350.000000, 20.000000,
CH0292081723, 31.05.2016, 14:23, 201.000000, 10.000000,
CH0292081723, 31.05.2016, 14:23, 200.000000, 9.000000,
CH0292081723, 30.09.2016, 08:40, 230.000000, 5.000000,
CH0292081723, 17.10.2016, 11:00, 221.000000, 2.000000,
CH0292081723, 31.10.2016, 08:58, 400.000000, 2.000000,
CH0292081723, 23.11.2016, 10:07, 221.000000, 1.000000,
CH0292081723, 19.12.2016, 09:32, 221.000000, 1.000000,
CH0292081723, 27.12.2016, 14:25, 221.000000, 2.000000,
CH0292081723, 09.02.2017, 15:53, 250.000000, 1.000000,
CH0292081723, 13.02.2017, 15:58, 185.000000, 1.000000,
CH0292081723, 15.02.2017, 15:46, 399.000000, 1.000000,
CH0292081723, 24.02.2017, 14:10, 230.000000, 1.000000,
CH0292081723, 09.03.2017, 11:05, 390.000000, 20.000000,
CH0292081723, 13.03.2017, 09:36, 399.000000, 10.000000,
CH0292081723, 27.03.2017, 08:08, 250.000000, 1.000000,
CH0292081723, 03.04.2017, 08:00, 220.000000, 1.000000,
CH0292081723, 13.04.2017, 16:13, 180.000000, 13.000000,
CH0292081723, 26.05.2017, 08:54, 399.000000, 20.000000,
CH0292081723, 27.07.2017, 09:24, 240.000000, 2.000000,
CH0292081723, 10.01.2018, 10:06, 250.000000, 1.000000,
CH0292081723, 10.01.2018, 10:06, 240.000000, 4.000000,
CH0292081723, 22.01.2018, 15:44, 240.000000, 1.000000,
CH0292081723, 04.06.2018, 11:13, 252.000000, 1.000000,
CH0292081723, 23.07.2018, 11:21, 260.000000, 1.000000,
CH0292081723, 01.10.2018, 11:26, 395.000000, 3.000000,
CH0292081723, 01.10.2018, 15:44, 273.000000, 3.000000,
CH0292081723, 04.10.2018, 13:26, 270.000000, 4.000000,
CH0292081723, 06.11.2018, 12:03, 260.000000, 2.000000,
CH0292081723, 06.11.2018, 16:49, 260.000000, 1.000000,
CH0292081723, 22.11.2018, 14:10, 260.000000, 2.000000,
CH0292081723, 11.02.2019, 09:47, 260.000000, 3.000000,
CH0292081723, 11.06.2019, 09:19, 339.000000, 2.000000,
CH0292081723, 11.06.2019, 09:23, 339.000000, 2.000000,
CH0292081723, 22.07.2019, 08:43, 261.000000, 4.000000,
CH0292081723, 22.07.2019, 08:43, 260.000000, 6.000000,
CH0292081723, 16.09.2019, 08:30, 320.000000, 6.000000,
CH0292081723, 16.09.2019, 09:44, 320.000000, 9.000000,
CH0292081723, 20.12.2019, 08:31, 333.500000, 2.000000,
CH0292081723, 16.03.2020, 09:08, 245.500000, 2.000000,
CH0292081723, 27.04.2020, 10:05, 280.000000, 7.000000,
CH0292081723, 18.08.2020, 10:56, 250.000000, 4.000000,
CH0292081723, 01.10.2020, 12:53, 280.000000, 1.000000,
CH0292081723, 24.11.2020, 14:59, 280.000000, 10.000000,
CH0292081723, 29.01.2021, 10:45, 245.000000, 5.000000,
CH0292081723, 24.02.2021, 09:50, 225.000000, 5.000000,
