Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0016376714, 25.03.2021, 16:03, 255.000000, 2.000000,
CH0016376714, 06.05.2021, 08:31, 230.000000, 1.000000,
CH0016376714, 05.01.2026, 15:11, 242.000000, 4.000000,
CH0016376714, 05.01.2026, 15:11, 241.000000, 4.000000,
CH0016376714, 15.10.2021, 10:25, 201.100000, 2.000000,
CH0016376714, 02.12.2021, 11:32, 295.000000, 2.000000,
CH0016376714, 08.12.2021, 08:31, 202.300000, 2.000000,
CH0016376714, 16.12.2021, 16:14, 202.300000, 2.000000,
CH0016376714, 04.02.2022, 10:20, 202.300000, 1.000000,
CH0016376714, 25.03.2026, 10:05, 600.000000, 1.000000,
CH0016376714, 25.03.2026, 10:01, 540.000000, 5.000000,
CH0016376714, 01.04.2026, 11:39, 700.000000, 2.000000,
CH0016376714, 10.06.2022, 10:11, 206.700000, 4.000000,
CH0016376714, 22.06.2022, 08:39, 295.000000, 8.000000,
CH0016376714, 28.09.2022, 15:27, 240.000000, 2.000000,
CH0016376714, 07.11.2022, 11:28, 240.000000, 2.000000,
CH0016376714, 20.12.2022, 08:39, 300.000000, 1.000000,
CH0016376714, 04.01.2023, 08:31, 300.000000, 2.000000,
CH0016376714, 04.01.2023, 09:55, 300.000000, 5.000000,
CH0016376714, 09.01.2023, 08:48, 500.000000, 1.000000,
CH0016376714, 09.01.2023, 09:06, 500.000000, 4.000000,
CH0016376714, 14.06.2023, 08:30, 251.000000, 4.000000,
CH0016376714, 27.02.2024, 09:42, 600.000000, 2.000000,
CH0016376714, 11.04.2024, 15:03, 350.000000, 4.000000,
CH0016376714, 14.06.2024, 09:14, 261.000000, 2.000000,
CH0016376714, 04.12.2024, 10:46, 295.000000, 4.000000,
CH0016376714, 04.12.2024, 10:46, 290.000000, 46.000000,
CH0016376714, 04.03.2025, 16:43, 405.000000, 1.000000,
CH0016376714, 04.03.2025, 16:53, 405.000000, 1.000000,
CH0016376714, 11.03.2025, 14:02, 405.000000, 1.000000,
CH0016376714, 27.03.2025, 10:34, 405.000000, 1.000000,
CH0016376714, 27.03.2025, 13:16, 405.000000, 1.000000,
CH0016376714, 17.06.2025, 10:09, 475.000000, 2.000000,
CH0016376714, 23.07.2025, 16:52, 600.000000, 1.000000,
CH0016376714, 04.08.2025, 08:30, 420.000000, 1.000000,
CH0016376714, 04.08.2025, 08:30, 420.000000, 1.000000,
