Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0002541586, 25.03.2021, 09:19, 4500.000000, 1.000000,
CH0002541586, 29.03.2021, 09:24, 4500.000000, 3.000000,
CH0002541586, 29.03.2021, 12:02, 4500.000000, 2.000000,
CH0002541586, 29.03.2021, 12:10, 4450.000000, 7.000000,
CH0002541586, 29.03.2021, 14:57, 4450.000000, 3.000000,
CH0002541586, 18.12.2025, 10:48, 4000.000000, 2.000000,
CH0002541586, 07.04.2021, 14:10, 4500.000000, 1.000000,
CH0002541586, 22.12.2025, 15:33, 4000.000000, 2.000000,
CH0002541586, 15.04.2021, 11:27, 4500.000000, 1.000000,
CH0002541586, 15.04.2021, 11:27, 4400.000000, 1.000000,
CH0002541586, 15.04.2021, 11:27, 4305.000000, 1.000000,
CH0002541586, 15.04.2021, 11:27, 4300.000000, 1.000000,
CH0002541586, 23.12.2025, 12:20, 4000.000000, 1.000000,
CH0002541586, 28.04.2021, 10:45, 4500.000000, 1.000000,
CH0002541586, 05.05.2021, 15:51, 4300.000000, 1.000000,
CH0002541586, 06.05.2021, 16:50, 4250.000000, 1.000000,
CH0002541586, 10.05.2021, 12:14, 4300.000000, 1.000000,
CH0002541586, 17.05.2021, 08:31, 4150.000000, 1.000000,
CH0002541586, 05.01.2026, 13:50, 4100.000000, 1.000000,
CH0002541586, 20.05.2021, 09:40, 4200.000000, 1.000000,
CH0002541586, 20.05.2021, 09:40, 4150.000000, 1.000000,
CH0002541586, 20.05.2021, 09:40, 4150.000000, 1.000000,
CH0002541586, 20.05.2021, 09:40, 4100.000000, 1.000000,
CH0002541586, 20.05.2021, 09:40, 4100.000000, 1.000000,
CH0002541586, 09.01.2026, 09:40, 4090.000000, 1.000000,
CH0002541586, 12.01.2026, 14:53, 4090.000000, 1.000000,
CH0002541586, 15.06.2021, 11:42, 4300.000000, 1.000000,
CH0002541586, 14.01.2026, 09:08, 4005.000000, 2.000000,
CH0002541586, 14.01.2026, 09:08, 4000.000000, 1.000000,
CH0002541586, 14.01.2026, 09:08, 3950.000000, 1.000000,
CH0002541586, 14.01.2026, 09:17, 3800.000000, 2.000000,
CH0002541586, 14.01.2026, 09:27, 3800.000000, 3.000000,
CH0002541586, 14.01.2026, 09:37, 3800.000000, 6.000000,
CH0002541586, 30.06.2021, 11:18, 4250.000000, 4.000000,
CH0002541586, 01.07.2021, 14:52, 4500.000000, 1.000000,
CH0002541586, 13.07.2021, 09:56, 4450.000000, 2.000000,
CH0002541586, 13.07.2021, 10:38, 4300.000000, 2.000000,
CH0002541586, 14.07.2021, 12:00, 4255.000000, 2.000000,
CH0002541586, 14.07.2021, 12:06, 4600.000000, 1.000000,
CH0002541586, 14.07.2021, 12:06, 4600.000000, 1.000000,
CH0002541586, 20.07.2021, 10:08, 4275.000000, 2.000000,
CH0002541586, 20.07.2021, 16:52, 4260.000000, 6.000000,
CH0002541586, 26.07.2021, 16:19, 4260.000000, 1.000000,
CH0002541586, 26.07.2021, 16:19, 4250.000000, 1.000000,
CH0002541586, 21.01.2026, 08:30, 4070.000000, 1.000000,
CH0002541586, 27.07.2021, 12:10, 4250.000000, 1.000000,
CH0002541586, 02.08.2021, 09:36, 4200.000000, 1.000000,
CH0002541586, 05.08.2021, 16:55, 4200.000000, 2.000000,
CH0002541586, 11.08.2021, 09:32, 4300.000000, 1.000000,
CH0002541586, 11.08.2021, 09:42, 4300.000000, 1.000000,
CH0002541586, 19.08.2021, 13:59, 4200.000000, 1.000000,
CH0002541586, 19.08.2021, 14:00, 4150.000000, 1.000000,
