Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0002353693, 25.05.2021, 10:50, 0.050000, 2.000000,
CH0002353693, 09.02.2026, 13:45, 5.250000, 8.000000,
CH0002353693, 17.02.2026, 10:56, 12.550000, 1.000000,
CH0002353693, 26.01.2022, 08:31, 0.050000, 47.000000,
CH0002353693, 14.04.2022, 11:07, 0.050000, 3.000000,
CH0002353693, 11.07.2022, 09:27, 0.050000, 2.000000,
CH0002353693, 24.08.2022, 08:45, 0.050000, 2.000000,
CH0002353693, 22.03.2023, 10:58, 3.100000, 1.000000,
CH0002353693, 29.03.2023, 08:31, 4.000000, 20.000000,
CH0002353693, 29.03.2023, 08:31, 3.000000, 22.000000,
CH0002353693, 29.03.2023, 08:31, 3.100000, 74.000000,
CH0002353693, 12.05.2023, 09:57, 3.300000, 13.000000,
CH0002353693, 10.08.2023, 14:47, 3.300000, 1.000000,
CH0002353693, 10.10.2023, 09:37, 5.500000, 1.000000,
CH0002353693, 17.10.2023, 10:22, 5.500000, 5.000000,
CH0002353693, 03.01.2024, 08:32, 5.250000, 1.000000,
CH0002353693, 07.02.2024, 14:53, 6.100000, 5.000000,
CH0002353693, 12.04.2024, 08:33, 6.000000, 2.000000,
CH0002353693, 19.04.2024, 08:31, 6.000000, 1.000000,
CH0002353693, 19.04.2024, 10:57, 6.000000, 2.000000,
CH0002353693, 02.05.2024, 11:19, 6.100000, 5.000000,
CH0002353693, 29.05.2024, 14:22, 6.000000, 2.000000,
CH0002353693, 14.06.2024, 11:34, 6.000000, 3.000000,
CH0002353693, 15.07.2024, 08:33, 5.250000, 5.000000,
CH0002353693, 16.07.2024, 11:08, 5.250000, 5.000000,
CH0002353693, 06.08.2024, 10:57, 5.500000, 12.000000,
CH0002353693, 22.08.2024, 16:13, 5.850000, 16.000000,
CH0002353693, 14.11.2024, 12:07, 5.950000, 3.000000,
CH0002353693, 16.12.2024, 09:09, 5.000000, 5.000000,
CH0002353693, 28.01.2025, 14:29, 6.250000, 2.000000,
CH0002353693, 18.02.2025, 15:38, 5.350000, 12.000000,
CH0002353693, 13.03.2025, 16:21, 5.350000, 2.000000,
CH0002353693, 26.03.2025, 10:27, 5.350000, 2.000000,
CH0002353693, 01.04.2025, 08:39, 5.350000, 4.000000,
CH0002353693, 14.04.2025, 11:24, 6.950000, 1.000000,
CH0002353693, 16.05.2025, 11:37, 6.950000, 1.000000,
CH0002353693, 26.05.2025, 09:33, 6.950000, 2.000000,
CH0002353693, 21.07.2025, 11:03, 6.050000, 7.000000,
CH0002353693, 30.07.2025, 15:09, 5.000000, 22.000000,
CH0002353693, 21.08.2025, 15:48, 5.500000, 10.000000,
CH0002353693, 25.09.2025, 10:07, 5.000000, 1.000000,
CH0002353693, 31.10.2025, 09:12, 5.750000, 2.000000,
CH0002353693, 11.11.2025, 10:09, 5.750000, 2.000000,
CH0002353693, 17.11.2025, 11:40, 50.000000, 2.000000,
CH0002353693, 03.12.2025, 15:34, 5.250000, 4.000000,
CH0002353693, 12.04.2006, 09:59, 64.000000, 2.000000,
CH0002353693, 12.04.2006, 09:59, 65.000000, 2.000000,
CH0002353693, 03.10.2006, 15:26, 64.000000, 1.000000,
CH0002353693, 18.10.2006, 08:17, 66.000000, 1.000000,
CH0002353693, 24.10.2006, 11:52, 66.000000, 2.000000,
CH0002353693, 03.09.2007, 12:05, 5.000000, 20.000000,
CH0002353693, 26.06.2008, 11:29, 60.000000, 1.000000,
CH0002353693, 02.07.2009, 12:09, 35.000000, 10.000000,
CH0002353693, 27.10.2009, 10:36, 10.000000, 4.000000,
CH0002353693, 27.10.2009, 10:37, 10.000000, 10.000000,
CH0002353693, 18.11.2009, 15:27, 10.000000, 5.000000,
CH0002353693, 19.11.2009, 16:33, 10.000000, 3.000000,
CH0002353693, 03.12.2009, 15:38, 10.000000, 10.000000,
CH0002353693, 16.12.2009, 10:07, 10.000000, 10.000000,
CH0002353693, 07.01.2010, 09:25, 5.000000, 7.000000,
CH0002353693, 11.01.2010, 12:38, 5.000000, 4.000000,
CH0002353693, 10.02.2010, 09:55, 5.000000, 2.000000,
CH0002353693, 04.03.2010, 15:44, 5.000000, 4.000000,
CH0002353693, 19.03.2010, 15:33, 5.000000, 2.000000,
CH0002353693, 29.03.2010, 15:18, 5.000000, 2.000000,
CH0002353693, 20.04.2010, 16:57, 5.000000, 15.000000,
CH0002353693, 30.04.2010, 13:03, 5.000000, 2.000000,
CH0002353693, 10.09.2010, 14:13, 15.000000, 80.000000,
CH0002353693, 10.01.2011, 14:15, 5.000000, 1.000000,
CH0002353693, 17.01.2011, 15:29, 5.000000, 15.000000,
CH0002353693, 12.04.2011, 13:02, 5.000000, 2.000000,
CH0002353693, 16.05.2011, 14:42, 5.000000, 16.000000,
CH0002353693, 09.08.2011, 14:18, 5.000000, 5.000000,
CH0002353693, 17.08.2011, 11:06, 5.000000, 1.000000,
CH0002353693, 15.09.2011, 09:48, 10.000000, 7.000000,
CH0002353693, 21.10.2011, 15:57, 5.000000, 2.000000,
CH0002353693, 25.10.2011, 11:28, 5.000000, 2.000000,
CH0002353693, 07.12.2011, 16:59, 5.000000, 1.000000,
CH0002353693, 20.12.2011, 14:16, 5.000000, 1.000000,
CH0002353693, 09.01.2012, 11:43, 5.000000, 10.000000,
